Species	contig	Gene	Prokka_name
RERhiCon	RERhiCon_1	other_or_unspecific	RERhiCon_00069 hypothetical protein
RERhiCon	RERhiCon_1	other_or_unspecific	RERhiCon_00070 hypothetical protein
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00071 hypothetical protein
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00072 IS982 family transposase ISWpi16
RERhiCon	RERhiCon_1	Dna_methyl	RERhiCon_00073 hypothetical protein
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00074 IS630 family transposase ISPa47
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00075 IS3 family transposase ISAcsp5
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00076 hypothetical protein
RERhiCon	RERhiCon_1	LeuRich	RERhiCon_00077 hypothetical protein
RERhiCon	RERhiCon_1	other_or_unspecific	RERhiCon_00078 hypothetical protein
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00079 hypothetical protein
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00080 IS110 family transposase ISCARN80
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00081 IS256 family transposase ISXax1
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00082 IS982 family transposase ISPasp1
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00083 IS110 family transposase ISOt5
RERhiCon	RERhiCon_1	cifA	RERhiCon_00084 hypothetical protein
RERhiCon	RERhiCon_1	cifB	RERhiCon_00085 hypothetical protein
RERhiCon	RERhiCon_1	Transposase	RERhiCon_00086 hypothetical protein
RERhiCon	RERhiCon_1	SpoT_hydrolase	RERhiCon_00087 GTP pyrophosphokinase rsh
RERhiCon	RERhiCon_1	HisKinase	RERhiCon_00088 Sensor protein EvgS
RERhiCon	RERhiCon_1	HisKinase	RERhiCon_00089 Phosphotransferase RcsD
RERhiCon	RERhiCon_1	Dna_methyl	RERhiCon_00090 Modification methylase DpnIIA
RERhiCon	RERhiCon_1	DnaI	RERhiCon_00091 hypothetical protein
