fragment	start	end	Apopt_START	Apopt_END	RNA_START	RNA_END	STOP1_START	STOP1_END	STOP2_START	STOP2_END	STOP3_START	STOP3_END	STOP4_START	STOP4_END	STOP5_START	STOP5_END	STOP6_START	STOP6_END	STOP7_START	STOP7_END	STOP8_START	STOP8_END	STOP9_START	STOP9_END	STOP10_START	STOP10_END
RgraBWI1	1	776	0	0	238	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REGlmRiTSETSE	1	638	0	0	238	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambGAT	1	799	0	0	239	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambAn13	1	799	0	0	239	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambDW	1	799	0	0	239	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambAcPa	1	799	0	0	239	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambAc37	1	799	0	0	239	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RcolAcd	1	793	0	0	236	474	48	51	59	62	107	110	119	121	520	523	0	0	0	0	0	0	0	0	0	0
RtamAT1	1	816	0	0	269	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rlusi_Oerra_bin22	1	813	0	0	270	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RarbT170B	1	664	0	0	140	360	97	100	129	132	162	165	187	190	208	211	239	242	272	275	570	573	604	607	635	638
REPsaPante1	1	487	16	67	191	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REIarboMS4	1	614	79	143	257	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REOegW744	1	616	77	143	256	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnzgw532	1	618	76	143	258	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RhooCS	1	614	80	144	258	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RheiTIGMIC	1	614	80	144	258	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RfelLSULb	1	614	79	143	257	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REOxoOopax6	1	427	9	71	186	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REDiaDallo3	1	428	9	71	186	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECuiRiCimp	1	423	8	71	186	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OtsuIke	1	861	0	0	313	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otsubor	1	863	0	0	313	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woegib1	1	846	0	0	215	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woegib2	1	848	0	0	215	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woegib3	1	847	0	0	215	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wAcro	1	593	10	63	209	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wBor	1	791	0	0	317	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCauA1	1	410	8	74	179	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCauA2	1	451	35	100	208	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCer	1	437	8	70	190	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCfeJ	1	431	8	67	187	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wCinUSA1	1	429	8	73	181	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
