fragment	start	end	OTU_START	OTU_END	AAA_START	AAA_END	IPDDE_START	IPDDE_END	IIPDDE_START	IIPDDE_END	ITPR_START	ITPR_END	IITPR_START	IITPR_END	DUB_START	DUB_END	ILRR_START	ILRR_END	IILRR_START	IILRR_END	TOXIN_START	TOXIN_END	IDUF_START	IDUF_END	IIDUF_START	IIDUF_END	ICA2_START	ICA2_END	IICA2_START	IICA2_END	RTX_START	RTX_END	SAL_START	SAL_END	IANK_START	IANK_END	IIANK_START	IIANK_END	IIIANK_START	IIIANK_END	LATRO_START	LATRO_END	MACO_START	MACO_END	STOP1_START	STOP1_END	STOP2_START	STOP2_END	STOP3_START	STOP3_END	STOP4_START	STOP4_END	STOP5_START	STOP5_END	STOP6_START	STOP6_END	STOP7_START	STOP7_END	STOP8_START	STOP8_END	STOP9_START	STOP9_END	STOP10_START	STOP10_END	STOP11_START	STOP11_END	STOP12_START	STOP12_END
RgraBWI1	1	2643	0	0	26	147	246	342	631	729	0	0	0	0	837	912	0	0	0	0	1093	1260	1502	1754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2357	2461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REGlmRiTSETSE	1	3215	0	0	32	148	256	369	641	735	0	0	0	0	0	0	837	1455	0	0	1528	1722	1943	2190	2228	2402	0	0	0	0	2486	2537	0	0	0	0	0	0	0	0	0	0	2826	3083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambGAT	1	2825	0	0	16	89	252	354	599	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2725	2825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambAn13	1	2771	0	0	16	89	252	354	599	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2671	2771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambDW	1	2825	0	0	16	89	252	354	599	687	0	0	0	0	0	0					0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	2725	2825	0	0	1603	1606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambAcPa	1	2780	0	0	16	89	252	354	608	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2680	2780	0	0	436	439	1941	1944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RambAc37	1	2879	0	0	16	89	251	354	599	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2779	2879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RcolAcd	1	403	0	0	16	135	257	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	51	332	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RtamAT1	1	2885	0	0	11	139	232	345	614	695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2745	2870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rlusi_Oerra_bin22	1	2422	0	0	13	121	229	342	601	699	0	0	0	0	0	0	0	0	0	0	885	1085	1309	1573	1591	1791	0	0	0	0	1870	1929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
